GeneID,mean_abs_shap
ILMN_1776104,0.62554777
ILMN_1784286,0.5518088
ILMN_2066060,0.36993167
ILMN_1749834,0.3650845
ILMN_1733559,0.32783717
ILMN_1755537,0.23373684
ILMN_1724533,0.2245555
ILMN_1743145,0.22292607
ILMN_2159694,0.21662673
ILMN_1730454,0.2058448
ILMN_1777378,0.1909289
ILMN_2391861,0.18343955
ILMN_1697499,0.15083547
ILMN_1760062,0.13969468
ILMN_1715169,0.13947555
ILMN_1760315,0.13075876
ILMN_1674069,0.1232807
ILMN_2388547,0.12108404
ILMN_2128128,0.116049945
ILMN_2119945,0.105176814
ILMN_1750507,0.10442244
ILMN_2201580,0.10392515
ILMN_1759155,0.09464101
ILMN_2165753,0.09417677
ILMN_1723912,0.09122941
ILMN_1769277,0.09083757
ILMN_1815895,0.08946189
ILMN_1654875,0.08595992
ILMN_1708323,0.079245396
ILMN_1666471,0.07901912
ILMN_1696839,0.07900564
ILMN_1721113,0.07791163
ILMN_1663142,0.07733568
ILMN_1805750,0.076893285
ILMN_2292178,0.074704014
ILMN_2119937,0.07226318
ILMN_1783142,0.07102505
ILMN_1807919,0.06997192
ILMN_1731233,0.06809763
ILMN_1666078,0.06514649
ILMN_1776519,0.06450518
ILMN_2337241,0.064031556
ILMN_1695585,0.06304214
ILMN_1678522,0.06223708
ILMN_1713458,0.05949263
ILMN_1688423,0.056714427
ILMN_1733581,0.054692116
ILMN_1688580,0.05244652
ILMN_2193213,0.05114329
ILMN_1729487,0.04840605
ILMN_1652073,0.04798961
ILMN_1697377,0.045048866
ILMN_1661631,0.044191852
ILMN_1716733,0.04036232
ILMN_1679920,0.038891993
ILMN_1713266,0.036799673
ILMN_1751258,0.034394085
ILMN_1749984,0.034118116
ILMN_1652431,0.034045774
ILMN_1743046,0.03400154
ILMN_1798189,0.033513363
ILMN_1711729,0.03208025
ILMN_1692223,0.03125331
ILMN_2290808,0.029644629
ILMN_1696584,0.02899496
ILMN_1714765,0.02897905
ILMN_2180866,0.02878158
ILMN_1680652,0.028625904
ILMN_2305544,0.027824843
ILMN_1707695,0.027784014
ILMN_2209027,0.027287316
ILMN_2310703,0.026778387
ILMN_1696512,0.026586646
ILMN_1792455,0.025906783
ILMN_1726647,0.025693897
ILMN_1656625,0.025596388
ILMN_1706117,0.025224129
ILMN_2389590,0.024284674
ILMN_2084825,0.024278266
ILMN_1708016,0.024064992
ILMN_1766165,0.023593167
ILMN_2139943,0.023589067
ILMN_2087060,0.023205152
ILMN_2165289,0.023204833
ILMN_2079655,0.023186842
ILMN_1684255,0.021442847
ILMN_1774091,0.02061901
ILMN_1652955,0.019991038
ILMN_2229242,0.019593073
ILMN_1707783,0.019586165
ILMN_1772809,0.019504707
ILMN_1753347,0.019402599
ILMN_2356284,0.019110164
ILMN_1656292,0.018273462
ILMN_1754195,0.018105438
ILMN_1705458,0.016822552
ILMN_1742410,0.016473362
ILMN_1651358,0.016104553
ILMN_1796678,0.015548563
ILMN_1663416,0.01494392
ILMN_2058782,0.014067639
ILMN_1679357,0.013958325
ILMN_2207539,0.013257603
ILMN_1665823,0.013230733
ILMN_2175465,0.013056312
ILMN_1737015,0.012769322
ILMN_1807710,0.012649307
ILMN_1683562,0.012319543
ILMN_1687738,0.012275049
ILMN_1712678,0.011838678
ILMN_2102721,0.011757601
ILMN_1664610,0.011341664
ILMN_1693262,0.010447673
ILMN_1673638,0.010267242
ILMN_1801216,0.01005928
ILMN_1781966,0.009888255
ILMN_1755808,0.009434602
ILMN_1659405,0.009158724
ILMN_1735712,0.008704671
ILMN_1704446,0.008494719
ILMN_1657722,0.008462882
ILMN_1748915,0.008437664
ILMN_1695187,0.008432949
ILMN_1661174,0.008310613
ILMN_1677262,0.008288508
ILMN_1667813,0.0076115616
ILMN_1677697,0.007583028
ILMN_1755115,0.007005611
ILMN_1683093,0.006884305
ILMN_1731546,0.0068644797
ILMN_1658283,0.006351647
ILMN_1750636,0.005268709
ILMN_1719032,0.0049532545
ILMN_2383097,0.0045471294
ILMN_1725661,0.002659861
ILMN_2207533,0.0008353762
