confidence,entropy,probability_AD,is_member
0.9176974,0.28435734,0.9176974,1
0.95556045,0.18180524,0.044439532,1
0.9599823,0.16800052,0.040017746,1
0.9584542,0.17282605,0.041545797,1
0.9440011,0.21581344,0.9440011,1
0.8672608,0.3915608,0.13273919,1
0.86618245,0.3935798,0.86618245,1
0.93240374,0.24737635,0.93240374,1
0.9305064,0.25232708,0.069493614,1
0.8919394,0.34244123,0.8919394,1
0.9308738,0.25137278,0.069126196,1
0.8208269,0.4701373,0.8208269,1
0.87116206,0.3841717,0.12883794,1
0.96667224,0.14612594,0.033327743,1
0.9644812,0.15343128,0.0355188,1
0.95979476,0.16859587,0.95979476,1
0.95764744,0.17534989,0.042352527,1
0.97045577,0.13315435,0.029544253,1
0.90016925,0.32471094,0.90016925,1
0.9716608,0.12892082,0.9716608,1
0.9384331,0.23125724,0.061566867,1
0.9468981,0.20754923,0.9468981,1
0.91010463,0.30229568,0.91010463,1
0.76188296,0.54889977,0.76188296,1
0.94250286,0.22002457,0.05749716,1
0.91304535,0.2954348,0.08695466,1
0.89120674,0.34398487,0.89120674,1
0.9083086,0.30643368,0.9083086,1
0.8679569,0.3902522,0.1320431,1
0.95458525,0.18478622,0.95458525,1
0.85605395,0.4120626,0.14394608,1
0.9004987,0.32398587,0.9004987,1
0.8674541,0.39119783,0.13254589,1
0.9022862,0.3200305,0.9022862,1
0.97215736,0.12716104,0.027842628,1
0.96365345,0.15615419,0.96365345,1
0.9582679,0.1734102,0.041732054,1
0.92304945,0.27125764,0.92304945,1
0.9234172,0.270343,0.0765828,1
0.9749153,0.11721698,0.025084699,1
0.89489436,0.3361585,0.89489436,1
0.9682496,0.140775,0.9682496,1
0.93147415,0.24980897,0.06852585,1
0.80912316,0.4874919,0.80912316,1
0.93486685,0.24086396,0.065133154,1
0.89142597,0.3435236,0.89142597,1
0.97640026,0.111735895,0.023599723,1
0.9431624,0.21817595,0.9431624,1
0.93827707,0.23168215,0.93827707,1
0.9842557,0.080978855,0.015744356,1
0.9697471,0.13562009,0.030252874,1
0.9456689,0.21107566,0.054331105,1
0.9729973,0.12416362,0.9729973,1
0.9237856,0.26942474,0.076214366,1
0.97499484,0.11692575,0.97499484,1
0.93852913,0.23099563,0.93852913,1
0.9639513,0.15517664,0.036048684,1
0.96059084,0.1660619,0.039409176,1
0.97351044,0.122319266,0.97351044,1
0.9480501,0.20421712,0.9480501,1
0.9319526,0.24855864,0.9319526,1
0.90696216,0.3095105,0.90696216,1
0.9469531,0.20739071,0.053046886,1
0.95754516,0.17566879,0.95754516,1
0.9389551,0.2298329,0.9389551,1
0.9076665,0.3079037,0.0923335,1
0.9206866,0.27708924,0.07931341,1
0.8998342,0.32544708,0.8998342,1
0.97770095,0.106856585,0.022299059,1
0.960835,0.16528133,0.039164994,1
0.8526813,0.41802984,0.14731875,1
0.9093017,0.30415046,0.9093017,1
0.96463424,0.15292566,0.96463424,1
0.9290656,0.25604934,0.07093442,1
0.9817168,0.0912802,0.9817168,1
0.8746807,0.37739104,0.12531932,1
0.84493214,0.4314,0.84493214,1
0.93135023,0.25013226,0.068649784,1
0.9737958,0.12128933,0.026204232,1
0.9629552,0.15843599,0.037044846,1
0.92526317,0.2657228,0.07473682,1
0.87315464,0.38034558,0.12684537,1
0.9414788,0.22287905,0.058521222,1
0.9439287,0.21601775,0.056071263,1
0.96104103,0.16462141,0.038958948,1
0.9597543,0.1687242,0.040245686,1
0.9614948,0.16316408,0.03850517,1
0.9521128,0.19224663,0.9521128,1
0.95311403,0.18924202,0.046885967,1
0.92776847,0.25937334,0.072231516,1
0.9859554,0.073852904,0.014044579,1
0.9410906,0.22395612,0.0589094,1
0.90478504,0.3144401,0.09521495,1
0.9064628,0.31064615,0.9064628,1
0.973318,0.12301226,0.026682032,1
0.91761494,0.28455624,0.91761494,1
0.9225525,0.2724905,0.9225525,1
0.96441776,0.15364066,0.96441776,1
0.9342187,0.2425871,0.06578127,1
0.966555,0.14652057,0.966555,1
0.92891604,0.25643384,0.92891604,1
0.9703795,0.13342054,0.029620504,1
0.9739178,0.120847926,0.026082218,1
0.8982387,0.32893577,0.8982387,1
0.85568744,0.41271544,0.14431255,1
0.9661346,0.14793202,0.03386541,1
0.88096976,0.36498827,0.11903021,1
0.9173012,0.28531188,0.082698844,1
0.92626494,0.26319498,0.92626494,1
0.94914216,0.2010334,0.05085784,1
0.94516206,0.2125211,0.054837964,1
0.94354826,0.21709062,0.05645174,1
0.97499573,0.11692244,0.025004249,1
0.9538976,0.186875,0.9538976,1
0.97571695,0.114269644,0.024283057,1
0.9582479,0.17347299,0.0417521,1
0.9673888,0.14370492,0.032611188,1
0.9590423,0.1709759,0.9590423,1
0.9240043,0.26887876,0.07599567,1
0.90904623,0.30473897,0.90904623,1
0.93674266,0.23583773,0.06325736,1
0.9420294,0.2213466,0.9420294,1
0.9549814,0.18357794,0.045018587,1
0.97385395,0.12107892,0.026146049,1
0.9793635,0.10050602,0.9793635,1
0.9579029,0.17455244,0.042097073,1
0.89369756,0.33871418,0.89369756,1
0.97628987,0.11214659,0.02371012,1
0.9752113,0.11613177,0.024788689,1
