sample_id,shard
GSM1539280,0
GSM1539372,0
GSM1539260,0
GSM1539256,0
GSM1539215,0
GSM1539300,0
GSM1539311,0
GSM1539124,0
GSM1539145,0
GSM1539198,0
GSM1539342,0
GSM1539389,0
GSM1539177,0
GSM1539403,0
GSM1539191,0
GSM1539365,0
GSM1539091,0
GSM1539105,0
GSM1539277,0
GSM1539170,0
GSM1539111,0
GSM1539381,0
GSM1539195,0
GSM1539161,0
GSM1539387,0
GSM1539122,0
GSM1539253,0
GSM1539335,0
GSM1539199,0
GSM1539178,0
GSM1539273,0
GSM1539278,0
GSM1539396,0
GSM1539246,0
GSM1539308,0
GSM1539295,0
GSM1539276,0
GSM1539173,0
GSM1539349,0
GSM1539158,0
GSM1539096,0
GSM1539306,0
GSM1539118,0
GSM1539367,0
GSM1539352,0
GSM1539222,0
GSM1539271,0
GSM1539313,0
GSM1539406,0
GSM1539157,0
GSM1539234,0
GSM1539126,0
GSM1539120,0
GSM1539196,0
GSM1539379,0
GSM1539230,0
GSM1539125,0
GSM1539241,0
GSM1539304,0
GSM1539340,0
GSM1539317,0
GSM1539103,0
GSM1539113,0
GSM1539148,0
GSM1539259,0
GSM1539171,0
GSM1539211,0
GSM1539221,0
GSM1539147,0
GSM1539386,0
GSM1539202,0
GSM1539390,0
GSM1539080,0
GSM1539153,0
GSM1539337,0
GSM1539358,0
GSM1539115,0
GSM1539213,0
GSM1539301,0
GSM1539235,0
GSM1539366,0
GSM1539285,0
GSM1539400,0
GSM1539362,0
GSM1539184,0
GSM1539288,0
GSM1539345,0
GSM1539336,0
GSM1539142,1
GSM1539333,1
GSM1539338,1
GSM1539092,1
GSM1539185,1
GSM1539140,1
GSM1539262,1
GSM1539098,1
GSM1539236,1
GSM1539323,1
GSM1539321,1
GSM1539309,1
GSM1539180,1
GSM1539375,1
GSM1539200,1
GSM1539226,1
GSM1539407,1
GSM1539188,1
GSM1539233,1
GSM1539257,1
GSM1539368,1
GSM1539370,1
GSM1539152,1
GSM1539240,1
GSM1539084,1
GSM1539283,1
GSM1539364,1
GSM1539232,1
GSM1539160,1
GSM1539293,1
GSM1539357,1
GSM1539088,1
GSM1539164,1
GSM1539190,1
GSM1539112,1
GSM1539243,1
GSM1539348,1
GSM1539208,1
GSM1539347,1
GSM1539274,1
GSM1539114,1
GSM1539220,1
GSM1539369,1
GSM1539360,1
GSM1539093,1
GSM1539371,1
GSM1539144,1
GSM1539162,1
GSM1539097,1
GSM1539310,1
GSM1539305,1
GSM1539270,1
GSM1539252,1
GSM1539119,1
GSM1539193,1
GSM1539159,1
GSM1539339,1
GSM1539205,1
GSM1539207,1
GSM1539290,1
GSM1539245,1
GSM1539377,1
GSM1539139,1
GSM1539116,1
GSM1539109,1
GSM1539106,1
GSM1539219,1
GSM1539351,1
GSM1539231,1
GSM1539218,1
GSM1539129,1
GSM1539269,1
GSM1539297,1
GSM1539291,1
GSM1539225,1
GSM1539216,1
GSM1539083,1
GSM1539324,1
GSM1539210,1
GSM1539214,1
GSM1539189,1
GSM1539108,1
GSM1539325,1
GSM1539095,1
GSM1539192,1
GSM1539279,1
GSM1539248,1
GSM1539385,1
GSM1539330,2
GSM1539203,2
GSM1539090,2
GSM1539223,2
GSM1539399,2
GSM1539397,2
GSM1539107,2
GSM1539267,2
GSM1539258,2
GSM1539086,2
GSM1539121,2
GSM1539392,2
GSM1539104,2
GSM1539268,2
GSM1539251,2
GSM1539287,2
GSM1539141,2
GSM1539155,2
GSM1539166,2
GSM1539343,2
GSM1539181,2
GSM1539312,2
GSM1539296,2
GSM1539264,2
GSM1539299,2
GSM1539194,2
GSM1539087,2
GSM1539150,2
GSM1539228,2
GSM1539344,2
GSM1539163,2
GSM1539174,2
GSM1539391,2
GSM1539254,2
GSM1539394,2
GSM1539326,2
GSM1539314,2
GSM1539265,2
GSM1539292,2
GSM1539383,2
GSM1539169,2
GSM1539175,2
GSM1539350,2
GSM1539099,2
GSM1539395,2
GSM1539401,2
GSM1539227,2
GSM1539206,2
GSM1539329,2
GSM1539209,2
GSM1539384,2
GSM1539334,2
GSM1539127,2
GSM1539373,2
GSM1539082,2
GSM1539242,2
GSM1539294,2
GSM1539307,2
GSM1539085,2
GSM1539156,2
GSM1539353,2
GSM1539388,2
GSM1539356,2
GSM1539136,2
GSM1539380,2
GSM1539149,2
GSM1539176,2
GSM1539284,2
GSM1539361,2
GSM1539289,2
GSM1539249,2
GSM1539250,2
GSM1539135,2
GSM1539263,2
GSM1539165,2
GSM1539089,2
GSM1539102,2
GSM1539212,2
GSM1539123,2
GSM1539201,2
GSM1539302,2
GSM1539110,2
GSM1539133,2
GSM1539363,2
GSM1539261,2
GSM1539131,2
GSM1539146,2
